Cleantext,Target
however it may be an alternative for women who do not want surgical abortion when mifepristone is not available ,0
the calculated pharmacokinetic parameters of diazepam were within the normal range for adults with exception of a median elimination halflife of only h,1
these observations may arise from several drug characteristics including lipophilicity molecular size extent of protein binding and lack of ionization at physiologic ph,0
past  st  rd ,0
fig  visual predictive check of the nal pharmacokinetic model for total cefazolin plasma concentrations in maternal blood,1
it may also wash away some misoprostol tablets inserted vaginally,0
in the third trimester a high concentration of ceftazidime   mgl after intravenous injection was maintained in fetal blood and amniotic fluid for about  hours and  hours respectively at  to  weeks of gestation the level of ceftazidime in amniotic fluid was  to  of the simultaneously observed maternal serum levels beyond the third hour after infusion of the drug consequently from the current study where the pregnant women later also served as their own nonpregnant controls we can conclude that  the extent of increase in the glomerular filtration rate will strongly determine the renal elimination rate of this cephalosporin and thus the plasma levels and  the renal excretion pattern for ceftazidime is not altered by pregnancy,1
author manuscript available in pmc  december  watermarktextwatermarktextwatermarktext characteristics are described in table ,0
statistics,0
while the precise clinical implications of these findings are not completely understood this information is important and could have a substantial impact on dosing recommendations and antiviral effectiveness in pregnant women with influenza,0
as our primary interest was to study how individual pathways of paracetamol metabolism and elimination are affected by pregnancy only limited efforts were put into obtaining samples for estimation of vas sucha study with more samples in the initial distribution phase is required to estimate exactly the initial volume of distribution of paracetamol in women at delivery,0
this estimate is made from the woman  i z with the highest milk concentrations and milk volumes and therefore not representative for all included patients,0
the mean concentration ratios were  ofor milkplasma and   ofor salivaplasma,1
the plot of conditional weighted residuals versus population predicted concentrations fig  or time fig  showed random distribution around the line of zero indicating a lack of any patterns in the model t across the concentration or time ranges in this study,0
the apparent volume of distribution in  phase was significantly larger p   during pregnancy than in the nonpregant state,1
at  h the concentrations in plasma during pregnancy were still significantly lower than in the nonpregnant state       and    gml p  ,1
bup showed no matrix effect and nbup exhibited ion enhancement of ,0
method b which assumes an average milk intake ofdepressive illness and individual variability in physiological control factors are possible contributors to the low milk  l kg  day  gave mean values that were approximately fold higher than those calculated by method a which wasvolumes,0
participants were given diary cards for notation of any adverse medication effects or symptoms of hsv recurrence these cards were reviewed at each clinic visit,0
table  shows that the total dose of bupivacaine and the overall dose rates were slightly though insignificantly greater in the intramuscular fentanyl group,1
for antiretroviralnaive patients who are adherent take darunavir with food and are not using concomitant medication reducing darunavir concentrations  mg of darunavirritonavir once daily is adequate in pregnancy,1
there are only four published studies of breastfeeding mothers and their infants in which the mothers were taking fuoxetine,0
a blood sample of approximately  ml was obtained within one of the sampling windows at each study visit,0
these and quality control samples were spiked with internal standard and extracted as described above,0
the coefcients of variation and the relative errors obtained were lower than  for all concentrations tested,0
the collision energy was  ev for metoprolol ohm and is,0
covariates healthcare utilization variables ramqmedecho databases such as hospitalizations and emergency department ed visits medical visits visits to a psychiatrist and number of prescribers were selected as markers of health status these were measured in the  months before and during pregnancy,0
cefatrizine is a secondgeneration oral cephalosporin that exhibits good absorption and pharmacokinetic characteristics and substantial activity against common key words oral cefatrizine  fetal distribution  maternal drug elimination abstract objective to investigate the effect of gestation on the pharmacokinetics of orally administered lactams choosing cefatrizine as the model antibiotic,1
the residual error term contains all the remaining error terms which cannot be explained by the structural model or interindividual variability and refers to for example measurement and experimental errors and structural model misspeci cation,0
if amniotic uid contains signicant pindolol concentrations it may represent a medium for continuous fetal exposure to the maternally administered blocker ,0
no metabolite was detected in placental tissue or amniotic fluid,1
godoy v,0
the renal clearance of the drug accounted for  ofthe total clearance from plasma in early pregnancy  in late pregnancy and  in the nonpregnant state,1
results cdratio during pregnancy sixtytwo blood samples from  patients  pregnancies were collected,1
lowmolecularweight heparins the first and third trimesters respectively based on our original in pregnancy,0
subjects were asked to avoid caffeinecontaining foods and beverages for the  h before each study day and throughout the sampling period,0
white gray and black symbols indicate gg wild type gt and tt slca genotypes at loci gt respectively  eyal et al icantly lower during mid pregnancy than postpartum table  fig ,0
venous blood samples were taken at            and  min after the administration of misoprostol,0
indeed some previous studies showed a decrease of the total lpv plasma concentration during pregnancy thus recent studies have proposed to increase the recommended lpvr doses during the third trimester of pregnancy  mg mg  or  mg mg  in order to provide exposures similar to those produced in nonpregnant women receiving  mg mg,1
trough concentrations during the third trimester with standard dosing were below  ngml the usual standard used in therapeutic drug monitoring programs in   of  women two subsequent studies confirm these findings reporting trough lpv concentrations below  gml in  of third trimester pregnant women receiving standard dosing with lpvrtv in the current study we studied lpv pk after an increased dose of  capsules during the third trimester and at  weeks postpartum with the goal of achieving lpv drug exposure in plasma during pregnancy equivalent to that seen in nonpregnant adults,1
methyl tertbutyl ether jt,0
the minor positive bias in wres plots for nasdox at  h  h and  days postdose was considered acceptable given the low concentrations at these fig ,0
for tpm however such data have been lacking,0
the column was a discovery f  mm   mm   m supelco bellefonte pa,0
although it is true that this does not necessarily mean that women actually took their medications de jong van den berg et al  found that the majority of filled prescriptions by pregnant women are taken,0
however these reductions were offset by increases in theophylline intrinsic renal clearance so that apparent reductions in the overall unbound clearance of this drug did not reach statistical significance either during pregnancy or in the early postpartum period clin pharmacol ther  marilynn c,1
pharmacokinetic parameters  weeks  weeks postpartum statistical parameter gestation gestation period significance concentration  h after dose iuml          p   maximum concentration iuml          p   time to maximum concentration min          ns area under plasma activityversustime curve iu  ml  min          p   apparent clearance mlmin          p   apparent volume of distribution of drug at steady state l          p   mean residence time min          ns values shown are mean  sem the value for  to  weeks gestation differs from the value for the postpartum period the value for  to  weeks gestation differs from the value for  to  weeks gestation the value for  to  weeks gestation differs from the value for the postpartum period of enoxaparin as a subcutaneous injection,1
peak theobromine concentrations of   to  mgl were found in allfluids at  to  hours after ingestion of chocolate,1
misoprostol a synthetic analogue of naturally occurring prostaglandine is manufactured for oral use for the prevention of gastric ulcers causedby nonsteroidal antiinflammatory drugs,0
the top organic layer was dried then resuspended in  ml methanol and transferred to lc vials containing silanized glass inserts,0
thus since tpm metabolism appears to be inducible it cannot be ruled out that metabolicendocrine changes during pregnancy may induce tpm metabolism,1
fifteen percent of the women lowered their doses,1
research triangle park and durham n,0
codeine was absorbed rapidly with peaks in plasma and milk  hr after medication,1
regrdh  disposition of the adrenergic blocker metoprolol in the latepregnant woman the amniotic fluid the cord blood and the neonate acta obstetricia et gynecologica scandinavica sup  to link to this article httpsdoiorg published online  jul ,0
selection between competing models was based on i the akaike information criterion aic  computed as two times the number of modelestimated parameters added to the nonmem minimum objective function  log likelihood value ofv and on ii the precision of parameter estimates expressed as the relative standard error percent standard error se and calculated as the percentage of the standard error provided by nonmem covariance step to the parameter estimate,0
the adverse effects of nifedipine and hydralazine on mother and infant are shown in table ,0
aminoglycosides are not metabolized and are excreted unmodified by renal filtration,0
measurements of ph were made on each individual milk sample,0
the target lpv auc during pregnancy was at least  ghml the estimated th percentile auc based on available data from nonpregnant adults the th percentile lpv auc in nonpregnant adults is  ghml five  of the  subjects studied during the second trimester exceeded the th percentile auc target compared with   of  third trimester subjects and   of  postpartum subjects fig ,1
bloom et al saw a similar phenomenon in ampicillin levels drawn in  women during elective cesarean delivery we speculate that the variability in cefazolin levels may reect the variability in fetal micturition or fetal antibiotic metabolism,0
for the visual predictive check  of as and  of dha observations fall outside the respective as and dha  prediction intervals suggesting that the model has adequate predictive power,1
individual maximum plasma drug concentration cmax minimum plasma drug concentration cmin and tmax were determined by visual inspection of the plasma concentration versus time prole,0
b,0
no decline in tpm plasma concentrations at the time of delivery was observed compared to postdelivery concentrations,1
table i presents the population pharmacokinetic parameter estimates for the final model,1
 volume  number   september   wwwnaturecomcpt articles nature publishing group changes in enoxaparin pharmacokinetics during pregnancy and implications for antithrombotic therapeutic strategy c lebaudy js hulot z amoura n costedoatchalumeau r serreau a ankri j conard a cornet m dommergues jc piette and p lechat enoxaparinisfrequentlyprescribedforpregnantwomenwhoareathighriskforthromboemboliccomplicationswe conductedapopulationpharmacokineticsstudywithpregnantwomenandnonpregnantwomenascontrolsto evaluateenoxaparinpharmacokineticsduringpregnancyandthepostpartumperiodclearanceofthedrugwashigherin thepregnantwomenthroughoutpregnancywhencomparedwithnonpregnantwomenlhvslh respectivelypwiththestageofthepregnancyhavingnoinfluencethevolumeofdistributionwasinfluencedby stageofthepregnancycharacterizedbyatwostepincreasewithaninitialriseparallelingthewomansincreaseinbody weightduringthefirsttwotrimestersfollowedbyanadditionalincreaseofduringthelastmonthsofpregnancy independentofchangesinweightusingenoxaparinpharmacokineticparameterstosimulateantixatimeprofileswe observedthatthemaintenanceofthesamedosesthroughoutpregnancyresultedinaprogressivereductioninmean andpeakantixaactivitieswerecommendtheadministrationofdosesnormalizedforbodyweightchangessoasto counteractenoxaparinpharmacokineticchangesthataccompanyvariousstagesofpregnancy,1
distribution and excretion of venlafaxine and odesmethylvenlafaxine in human milk,0
moreover overall drug plus primary metabolite transfer was  of the weightadjusted maternal dose and lower than the notional  level of concern ,1
the minimum concentrations antepartum occurred predose in only one patient and occurred at  h postdose in  women as reected by the nearly identical geometric mean third trimester cmin of  mgml  ci  mgml and ch of  mgml  ci  mgml,1
one patient was treated because of preterm premature rupture of the membranes and had a twin pregnancy,1
f,0
this ratio rose to  at  hr confirming the slower elimination of salicylate from milk than plasma,1
its physicochemical properties result in a relatively small volume of distribution yielding a short elimination halflife despite a hepatic clearance of only onethird the hepatic blood flow ,1
lpv concentration  hours after the dose evening trough exceeded  gml the standard lpv trough concentration target for treatmentnaive adults in therapeutic drug monitoring programs at all times studied except for  woman during the second trimester,1
results of these analyses are analyzed for significant changes,0
approximately  to  months following expected date of delivery edd researchers telephoned each woman confirmed participation and obtained oral consent to participate,0
gestational agedependent induction of cypa activity  respectively,0
the peak plasma nla concentrations in the third trimester g meansd were significantly less p  df than the peak plasma nla concentrations for patients at least three months postpartum   wl,1
statistics data are presented as mean and standard error of the mean sem,0
over the whole dosing interval therapeutic drug concentrations well above the wildtype hiv  inhibitory concentration are maintained,0
karunajeewa sam salman ivo mueller francisca baiwog servina gomorrai irwin law madhu pagesharp stephen rogerson peter siba kenneth f,0
in the third trimester of pregnancy a decrease in tfv auc h cmax and c h   and  respectively was observed as well as a decrease in ftc auc h cmax and c h   and  respectively,1
frequent blood sampling by the th patient patient q demonstrated a gradual decrease of lamotrigine ltg levels from the baseline of  mgl to a minimum of  mgl in the last month of gestation,1
turnbull a,0
the elimination curves for codeine from milk and plasma were parallel,1
two this work was supported in part by the national institutes of health national institute of child health and human development grant uhd unit network obstetricfetal pharmacology research the national institutes of health national center for research resources grants trr mrr rr and the university of washington multidisciplinary predoctoral research training program,0
this pilot study provides an initial step toward building such a model,0
the observed difference is likely because of increased renal clearance of enoxaparin during pregnancy,1
table  summarizes the weightcorrected maternal figure  representative milk and plasma concentrationtime proles for escitalopram  milk  plasma and demethylescitalopram  milk  plasma in patients  dose  mg  dose  mg  dose  mg and  dose  mg  escitalopramor demethylescitaloprammgl         time hrs        time hrs        escitalopramor demethylescitaloprammgl         escitalopramor demethylescitaloprammgl         escitalopramor demethylescitaloprammgl         time hrs        time hrs        transfer of escitalopram and demethylescitalopram into breastmilk br j clin pharmacol   escitalopram doses as well as the calculated infant doses and measured drug concentrations in the infants plasma,1
this is an open access article distributed under the terms of the creative commons attribution license httpcreativecommonsorglicensesby which permits unrestricted use distribution and reproduction in any medium provided the original work is properly cited in intrauterine growth restriction preterm birth and low birth weights ,0
no significant differences were known to provide the best indicator of extent of exposure to detected between aucs in the ufh group with significant any drug during the dosing interval differences only in cmax between prepregnancy versus second trimester prepregnancy versus third trimester first versus results second trimester and first versus third trimester,1
this corresponded to an average of  increase in midazolam apparent oral clearance and  increase in hydroxymidazolam formation clearance during pregnancy compared to postpartum,1
our study found systemic bioavailability of vaginally administered misoprostol is three times higher than that of orally administered misoprostol when determined by au,1
h,0
because some of the hormones were depleted the actual table  plasma concentrations of prhs observed in pregnant women during t t or t and targeted to use in this study after correcting for depletion hormone nonpregnant unbound t t t total  total total  total total  total nm nm nm nm nm nm nm ca        e b        ghc        pghd na       pe        na not available a data represent weighted arithmetic means from huang et al  carr et al  demeyponsart et al  jung et al  and soldin et al  b data represent weighted arithmetic means from soldin et al  c data represent weighted arithmetic means from caufriez et al  d data represent weighted arithmetic means from wu et al  and baumann et al  e data represent weighted arithmetic means from soldin et al  and meulenberg et al ,1
as many as  to  of gravid women have a known history of recurrent genital hsv infection the most serious risk posed by genital hsv infection during pregnancy is that of vertical transmission of infection to the fetus or neonate,0
the weightadjusted relative dose assuming a daily milk intake of  mldaykg was  of the maternal doseday absolute approximate dose to infant  mgkgday,1
delivery was expected within  min after alfentanil injection,0
discussion the technique used for the present study employing tracer doses of stable isotope labelled phenytoin has advantages over other methods of investigating antiepileptic drug kinetics in human pregnancy,0
doiqadbecb issn  q  wolters kluwer health  lippincott williams  wilkins  copyright  lippincott williams  wilkins,0
a lter paper blood spot was collected at each visit until day  posttreatment,0
pauls hospitals  centre for community child health research and  reproductive health group bc research institute for childrens  womens health aims to compare the disposition of uoxetine and noruoxetine enanantiomers in the mother foetus and infant,0
therefore the goal of the current investigation was to determine the steadystate pharmacokinetics of indomethacin during pregnancy  methods  subjects pregnant females whose providers recommended treatment with indomethacin were eligible for enrollment in this study,1
capillary blood samples also were obtained by heel prick from the newborns on three occasions   and  h after delivery,0
patient tmax h venlafaxine cmax  mg lx  caverage  mg lx  mpauc tmax h odesmethylvenlafaxine cmax  mg lx  caverage  mg lx  mpauc                                                       mean          ci                  maximum concentration recorded during the dose interval  average concentration calculated as aucdose interval  median th and th percentiles,1
lopinavir was given as an observed dose after a standardized meal of approximately  kilocalories with approximately  of calories from fat,0
gestation at birth birth weight g delivery mode fluoxetine dose for babys age at start of duration of medicated weeks mother mgday medicated breast breastfeeding feeding weeks weeks i   caesarian       normal       normal  i     normal    neurological and development tests of infants we used the bayley scales of infant development bayley  to examine mental and psychomotor performance during the first  months and for one infant up to  months,1
there were no adverse outcomes reported in  exposures to escitalopram that were part of a larger prospective database study from motherisk excluded from this current study similarly the swedish medical birth register reported no adverse outcomes among  exposed infants the objectives of this study were fold  to determine whether the use of escitalopram during pregnancy is associated with an increased risk for major malformations above the baseline of  to   to determine the rates of spontaneous abortions therapeutic abortions stillbirths and mean birth weight and gestational age at delivery and  to determine if the neonate required admission to the neonatal intensive care unit nicu,1
preparation of this report was supported in part by smithkline beecham andsupported in part by smithkline beecham and pfizerpfizer,0
the investigator administered misoprostol  g to the subject by the route determined in the randomization envelope,1
overall the mean  ci auc during pregnancy for all seven subjects was    of the postpartum value p   twotailed ttest p   onetailed ttest,1
results from  until   mothers all of caucasian race and using clomipramine were eligible for this study and all women could be included,0
all of these patients underwent a caesarean section,0
there was no significant difference with respect to the mean maximum concentration of paracetamol cmax and the mean time to maximum concentration of paracetamol rcmax for the four groups,1
despite its widespread use the pharmacokinetics of sp has never been described in pregnant women,0
tel  fax  email angelacolbersradboudumcnl members are listed in the acknowledgements section,0
while there appeared to be proportionately more positive slopes  of  for pregnancies involving pht monotherapy than for pregnancies in which pht was received in combination  of  the difference was not satistically significant x   df   p  ,0
the mean concenations in ic fluidwere    and    pgm ein early and late preg ,1
the concentration of alphaacid glycoprotein in neonates increases with gestational age ,0
participants who received vaginal moistened misoprostol had a higher level of drug exposure when they achieved sustained uterine activity,1
the auc in the vaginalwithwater group was higher than that of the vaginal group but the difference was not statistically signicant,1
the purpose of the study risks and potential complications were explained to all patients invited to participate,0
pharmacology of misoprostol ,0
the findings indicate that with  units of buccal ot every  minutes plasma ot concentrations attained were similar to those found during the first stage of labor and that the disappearance of ot from the plasma after discontinuation was slow au,0
the mean  sd serum halflife of nifedipine capsule of  mg was    h range  to  h,1
at  h day  blood samples were obtained at       and  min from the time of drug administration,0
the institutional review board of the emory university school of medicine approved the study,0
these differences were attributed largely to differential plasma protein binding of the enantiomers with the free fractions of ruoxetine being    and    in the ewe and foetus respectively and those of suoxetine being    and   ,1
data are expressed as mean  sd values unless otherwise stated,0
blood samples for determination of nifedipine concentrations cp were collected in heparinized tubes,0
the quantitation limit detected was  ng ml for both enantiomers,0
laboratory procedures blood smears for parasite counts were obtained from a capillary blood specimen and examined at screening and on days   and  and then at each weekly visit thereafter as well as any other day if the patient spontaneously returned with fever or worsening symptoms,0
the effect of the increased clearance during pregnancy may be offset by the increased sensitivity to metoprolol,1
chromatograms a blank of aminiotic uid b amniotic uid sample obtained  h after the last dose of racemic pindolol  mg h r  ngml and s  ngml c blank of breast milk d breast milk sample obtained  h after the last pindolol dose r  ngml and s  ngml  rpindolol  min and  spindolol  min toserum concentrations ranged from  to  for metoprolol  for sotalol  for nadolol from  to  for betaxolol  for propranolol and from  to  for atenolol,1
b  wisner k,0
at each pharmacokinetics pk evaluation the time of the last lpvr dose was also recorded,0
we present the first sl bup tablet pharmacokinetic data in plasma of and sweat of pregnant women during pregnancy and postpartum,1
the hour profiles of antixa levels at  iukg once daily compared with  iukg twice daily showed that the twice daily regimen gave a peak values of  iuml as compared with iuml from once daily injections fig ,1
one hundred and ninety microlitres of the solution was injected onto an atlantis cp column  mm  mm   mm,0
there was considerable variability associated with all parameters which could support a case for plasma concentration monitoring of metformin in these patients under some circumstances,1
to expedite rapid generation of pharmacokinetic data in pregnancy the study design did not incorporate detailed evaluations to explain the mechanisms of any altered pharmacokinetics we might nd,0
gestational ages weeks at the beginning of treatment were         and   respectively,1
apparent clearance clf and volume of distribution vf estimates with  bootstrap confidence intervals were as follows  l  l for as vf  lh  lh for as clf  l  l for dha vf and  lh  lh for dha clf,1
in addition the local cervical priming effect of vaginal misoprostol should not be overlooked,0
because there is a large interindividual variability in the magnitude and time course of the pregnancyassociated pharmacokinetic changes it is desirable to establish baseline plasma ltg concentrations in all women of childbearing potential and to monitor ltg levels at frequent intervals during pregnancy and the puerperium,1
oxytocinase activity was determined by sbenzyllcysteinepnitroanilide degradation ,0
the number of such infants as a proportion of the total decreased with increasing postnatal age being  over the rst month  over the second month and  thereafter,0
therefore it is widely used offlabel by vaginal administration,0
the mean platelet count at day  was also signicantly lower in pregnant women table ,0
aucinf area under capillary blood concentrationtime curve extrapolated to infinity cday  blood concentration on day  clf total clearance cmax maximum capillary blood concentration gmr geometric mean ratio of pharmacokinetic values between pregnancy and postpartum period na not applicable nd not determined t elimination halflife vdf apparent volume of distribution aexcludes one patient in whom all capillary blood concentrations were below the limit of quantification bsample size of  representative only for day  concentrations,1
stek md edmund v,0
all blood samples were collected in vacutainer tubes without additives and allowed to clot for  min,1
similar to heparg cells despite interbatch variability the magnitude of induction of cypa activity by dual hormone treatments or prh cocktail was in general comparable to that by c alone at both  and  concentrations,0
the study also compared the efcacy of lopinavir with ritonavir lpvr administered as a monotherapy  mg mg twice daily versus a triple therapy administered twice daily that contained lpvr  mg mg and two nrtis combivir  mg zdv plus  mg lamivudine during pregnancy ,1
metformin readily crosses the placenta with plasma concentrations in the fetal circulation similar to those in the mother at birth,1
ilett l,0
the patients were allowed to move about freely in the ward during both of the experiments,0
the use of a population pk approach can be useful for the analysis of such data    ,0
the pooled plasma from the  control subjects was used as the standard for the determination of coagulation factors activity,0
not all subjects attended the clinic with complete regularity and some also failed to have plasma level measurements carried out even when these had been arranged,0
the only significant differences among groups was the rate of low birth weight  g and overall mean birth weight p  ,0
in our subject population the effect of pregnancy on metformin pk was more pronounced than the effect of the slca gt genotype,1
ritonavir exposure was  twice daily and  once daily lower during pregnancy,1
the decrease in exposure to maraviroc observed in our subjects during pregnancy is similar in magnitude to that seen with the protease inhibitors atazanavir darunavir and lopinavir ,0
eyal et al  reported that the elimination halflife of metformin was slightly longer at mid pregnancy than postpartum  h vs  h,1
we have recently reported that when misoprostol  g is administered in the third stage of labor peak levels higher than those noted in this study are achieved by both the oral and rectal route thus bioavailability may be dosedependent at least within the range of doses examined in these  studies,1
population pharmacokinetic parameter estimates for lopinavir in hivinfected women during the third trimester of pregnancy estimate rse  lopinavir parameters tlag h   ka h    clf lh kg   vf l kg   iiv cl   iov tlag   ka   f   residual error additive mgl   proportional    clf oral clearance vf apparent volume of distribution ka absorption rate constant tlag lag time f bioavailability rse relative standard error standard error of estimateestimate,1
eur j clin pharmacol  europeanj,0
however a clear statistical correlation between lowered tpm cdratio and seizure breakthrough could not be demonstrated in the present study,1
in animal experiments not only phenobarbital but methylcholanthrene cmc was able to induce propranolol biotransformation as well,0
plasma atosiban concentration versus time data were fit to a twocompartment model with constant intravenous input and firstorder output by pc nonlin sc software lexington ky with ly as the weight factor,0
if a patient has a preoperative blood volume bv and a perioperative blood loss v then the hb and  or hct will fall according to the one compartment kinetic model hbpostop hbpreop  evbv  therefore if hb g  l and  or hct  have been measured before and after the operation as is the case in our study the blood loss may be calculated using the following equation of flordal  v bv  lnhbpreophbpostop the patients preoperative blood volume was calculated using the basic equation of allen et al  as optimized by nadler et al  for women bv  h bw  l where h is height m and bw is body weight kg,0
a bupivacaineepinephrine mixture has not previously been studied in parturients,0
despite these limitations we conclude that the pharmacokinetics of the active metabolite of oseltamivir is affected by pregnancy,1
email anickberardumontrealca received  july  accepted  october  contract grant sponsors les fonds de la recherche en sante du quebec frsq le reseau quebecois de recherche sur lusage des medicaments rqrum le reseau frsq for the wellbeing of children,0
table ,0
the peak concentration in venous umbilical cord serum was  mgliter  of the maternal peak concentration and was reached  min after the maternal peak concentration,1
simultaneous models were implemented using advan ,0
hiv viral load was undetectable  copiesml for  patients around delivery and less than  copiesml for  of the patients,0
postpartum values were comparable to those previously reported in nonpregnant subjects  lh previous investigations with midazolam dextromethorphan and nelfinavir have suggested that intrinsic hepaticintestinal cypa activity may be increased by  to  during pregnancy contrary to expectations the estimated unbound oral clearance of tacrolimus clffb did not change in pregnancy,1
after delivery the infant noruoxetine concentrations declined slowly as indicated by the long infant elimination halflife ie from  to  days,1
available urine data were not used in model development but instead were used to provide an independent validation of the model,0
streptozotocin or alloxaninduced diabetes in rats gives rise to a number of alterations in the activity of the hepatic drugmetabolizing enzymes that are involved in cytochrome  cyp and ugt reactions  ,0
with respect to the lack of a correlation between daily doses of lamotrigine and its levels in maternal serum and umbilical cord blood but the almost perfect correlation of maternal serum concentrations and lamotrigine concentrations in amniotic fluid and umbilical cord blood one has to consider that the concentration of lamotrigine in blood is a much better indicator for the fetal exposure than the daily dose,1
a limitation to our study is the lack of corresponding neonatal serum pcn concentrations,0
the simultaneous concentrations of the stable isotopic drug and the unlabelled drug can be measured separately each with great sensitivity by mass spectrometry as has been shown previously van langenhoave et al ,0
pregnancy increased clf of labetalol by approximately  lh at  weeks gestation and  lh at  weeks gestation,1
the pregnancy had been planned and although she continued to experience symptoms of ocd during the pregnancy she did not take any medication,0
foote ef lee dr karim a keane wf halstenson ce,0
in fifteen women taking  mg nifedipine every  hours for gestational hypertension oral clearance was  lhr consistent with our results  lh ,1
the mean norfluoxetinefluoxetine metabolic ratio was fold higher during late pregnancy than at  months after delivery p  ,1
women were often referred after the first  weeks of pregnancy when the fall in plasma levels was already under way without any remedial action having been taken,0
the dose of  mg as prescribed for the prevention of endocarditis was administered over  min  mgml  nacl every  h,1
fentanyl concentrations in  series of maternal serum fetal serum and amniotic uid samples according to time between injection i and sampling s gestational age time i to fentanyl concentration ngml weeksdays s min maternal serum fetal serum amniotic uid                                                   results coelomic uid was aspirated in  pregnancies between  and  weeks of gestation and amniotic uid was obtained in  pregnancies between  and  weeks,1
clinical chemistry parameters clotting status and complete blood count were recorded for every subject of both groups   h before the administration of the first cft dose,0
j clin pharmacol   zieman et al kinetics ofmisoprosto address reprint requests to miriam ziemanmd departmentqf gynecologyand obstetrics emory university school qf medicine  butler street atlanta ga  received november  ,0
hughes et al,0
diabetes alters the stereoselective metoprolol pharmacokinetics in parturients br j clin pharmacol      vvvv as the mobile phase,1
mean values for age cervix at initiation of oxytocin and maximum oxytocin infusion rates were    years   cm and    mumin respectively,0
in contrast transplacental passage of cefazolin may potentially decrease the incidence of neonatal sepsis,0
milklserrtm ratio of cintihiotic concrtitrrtiorisrlftcr ri single orrrl or intrtirnorrsdose f f i i cephulosporins and li tnoxicillin figures with a f sign indicate standard deviation no of antibiotics patients amoxicillin  cephalexin  cefddroxil  cephalothin  cephapirin  cefotaxime  mean milkerum ratio at indicated time hour i    if i f f ifo  iofo,0
pregnancy has been reported to induce changes in tubular secretion of endogenous compounds such as glucose and amino acids davison and dunlop ,0
comparison of mean values for volume of distribution area under the curve peak level in plasm and bioavailability of ampicillin in  women during and after pregnancy,1
it has been shown that auc comparisons for phenytoin using the same dose of the drug given by different routes and employing linear kinetics underestimates the true oral bioavailability jusko et al ,1
a lack of precise correlation may be explained by several phenomena peptidases oxytocin receptors and postreceptor metabolism all of which may modulate oxytocin response and effectiveness at the level of the myometrium,0
cypa activity in these schhs was determined as described subsequently,0
the combined organic extracts were evaporated to dryness under a stream of dry nitrogen,0
the mean ratios between maternal and umbilical vein plasma acyclovir levels were  and  respectively in patients treated with valacyclovir and acyclovir  kimberlin et al october  am j obstet gynecol fig ,1
table  comparison of clfss and cave data from this investigation in pregnant subjects receiving  mg of indomethacin orally every  h with cave and clfss data reported in the literature for nonpregnant subjects study subjects age years weight kg dose mg cave lgml clfss lh present study  pregnant females        every  h       alvan et al   males    every  h       baber et al   males   nonpregnant females  nra  every  h     rainsford et al   males      every  h   values are presented as mean  sd where available clfss apparent steadystate oral clearance cave average steadystate drug concentration nr not reported a nr but based on the reported weightnormalized value for clearance  lhkg the mean weight is estimated to be approximately  kg pharmacokinetics of indomethacin in pregnancy  a second factor that may inuence cordtomaternal ratios is the amount of time between the last dose and delivery which was as much as  h in this investigation but only between  and  h in previously published studies  ,1
treatment characteristics are summarized in table ,1
the dalteparin was pre parameters determined were the maximum concentration obscribed at a dosage of  u every  hours prepregnancy tained during the dosing interval cmax the trough or minand in the first trimester  u in the second trimester and imum concentration obtained before the next dose cmin  u in the third trimester,1
petrenaite et al  epilepsy research    deteriorated doing so primarily in tm continued to do so in tm ie after dose adjustment,0
measurable end points and statistical methods measurement ofplasma misoprostol acid levels for the different dose reservoirs at the specific dosing intervals permitted comparisons of peak plasma concentrations area under the curve and elimination halflife,0
this strongly suggests an increased delivery of tacrolimus to intrahepatic cypa during pregnancy that resulted in enhanced hepatic extraction and systemic clearance and reduced mean oral auc,1
the mean antenatal systemic sotalol clearance   mlminkg was significantly higher than the postnatal clearance    mlminkg,1
cerqueira pm coelho eb geleilette tjm goldman gh lanchote vl,0
published in final edited form as j acquir immune defic syndr  december    doiqaibeedd,0
two individual cases of pyelectasis in children born from mothers receiving tdfcontaining therapy during pregnancy have been described ,0
the limit of quantification was  mgl,0
pk estimates for sand rketorolac in three groups pkestimatesinwomenshortlyfollowingcesareandelivery were compared to the observations in eight women in the postpartum period mean st  th  postpartum week and in eight healthy female volunteers table,1
students t test or the mannwhitney u test for nonnormally distributed data was used to compare admission characteristics between the two groups,0
acknowledgementswe are indebted to professor gjohnsson ab hissle mndal and to professor iringqvist dept of clinical physiology vssters hospital for valuable discussions,0
examining the marginal success in maternal and cord blood fig  suggests that high maternal plasma concentrations and target rates of  are achieved during surgery if cefazolin is administered less than  h before surgery,1
all patients were fasted for h and then received paracetamol tablets  g orally with water  ml,1
in contrast to the placenta amniotic fluid is a specialized tissue and the concentration gradient seems to be less important for drug penetration,1
the available data were not sufcient to estimate intersubject variability for v,0
at delivery the umbilicalmaternal tpm plasma concentration ratios ranged from  to  mean ,1
for the assessment of postprocessing stability the extracted samples were kept in the selfinjector at   c for h before injection into the chromatography system,0
no difference in the median elimination halflife was documented between these two physiological states of the same women table,1
v,0
page  ther drug monit,0
this effect can be attributed to a substantial increase of the apparent volume of distribution of cefatrizine in relation to a moderate increase of clearance that occurs during pregnancy,1
also all  women who had an lpv auc below the th percentile for nonpregnant adults achieved a satisfactory hivrna viral suppression at the time of delivery,1
postoperatively serum samples were collected every  h,0
